Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
285,N8GH,444.475000,+,5.000000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"N8GH near Lawton, Van Buren County, Michigan OPEN",,,,
286,N9KOP,146.700000,-,0.600000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"N9KOP near Mio, Oscoda County, Michigan OPEN",,,,
287,W8CMN,444.700000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,"W8CMN near Mio, Oscoda County, Michigan OPEN",,,,
288,MSP,145.340000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,"W8VY near Paw Paw, Van Buren County, Michigan OPEN",,,,
289,W8FSM,443.925000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,"W8FSM near Hamilton, Allegan County, Michigan OPEN c-Bridge partner with DMR-MARC",,,,
290,N8FYZ,145.170000,-,0.600000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,FM,5.00,,50W,"N8FYZ near Paw Paw, Van Buren County, Michigan OPEN",,,,
291,Maike Fire LO,145.450000,-,0.600000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,DN,5.00,,50W,"KB8IFE near White Cloud, Newaygo County, Michigan OPEN",,,,
292,Maike Fire LO,444.975000,+,5.000000,TSQL,88.5,94.8,023,NN,023,Tone->Tone,DN,5.00,,50W,"KB8IFE near White Cloud, Newaygo County, Michigan OPEN",,,,
293,KD8CAO,445.500000,-,5.000000,Tone,94.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"KD8CAO near Zeeland, Ottawa County, Michigan OPEN",,,,
294,MSP,444.075000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DV,5.00,,50W,"W8VY near Paw Paw, Van Buren County, Michigan OPEN",,,,
